restaurant,item,calories,total_fat,protein,cholesterol,sodium,total_carb,sugar
Sonic,Super Sonic Double Cheeseburger W/ Mustard,1120,76,63,235,1550,44,8
Sonic,Super Sonic Double Cheeseburger W/ Ketchup,1130,76,63,235,1620,47,11
Sonic,Super Sonic Double Cheeseburger W/ Mayo,1220,87,63,245,1520,45,8
Sonic,Super Sonic Jalapeno Double Cheeseburger,1120,76,63,235,1690,43,7
Sonic,Veggie Burger W/ Ketchup,450,14,15,10,1410,67,11
Sonic,Veggie Burger With Mustard,450,14,15,10,1350,64,8
Sonic,Veggie Burger W/ Mustard,450,14,15,10,1300,64,8
Sonic,Grilled Asiago Caesar Chicken Club Sandwich,610,30,40,110,1570,44,8
Sonic,Crispy Asiago Caesar Chicken Club Sandwich,680,39,31,80,1120,53,7
Sonic,Grilled Chicken Sandwich,430,20,28,80,940,33,6
Sonic,Crispy Chicken Sandwich,570,33,23,45,1060,47,6
Sonic,Chicken Strip Sandwich,450,24,19,35,740,43,4
Sonic,3 Piece Crispy Chicken Tender Dinner,280,14,22,0,800,16,0
Sonic,5 Piece Crispy Chicken Tender Dinner,470,24,37,0,1340,26,0
Sonic,Deluxe Ultimate Chicken Sandwich,740,39,33,90,1550,63,12
Sonic,Buffalo Dunked Ultimate Chicken Sandwich,1000,61,23,125,4520,70,12
Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,1350,100,23,190,2180,69,10
Sonic,Small Jumbo Popcorn Chicken,380,22,18,45,1250,27,1
Sonic,Large Jumbo Popcorn Chicken,560,32,27,65,1890,41,2
Sonic,Small Spicy Jumbo Popcorn Chicken,350,17,21,45,860,30,0
Sonic,Large Spicy Jumbo Popcorn Chicken,610,30,36,80,1500,51,0
Sonic,3 Piece Super Crunch Chicken Strip Dinner,970,46,30,55,2160,109,9
Sonic,4 Piece Super Crunch Chicken Strip Dinner,1080,51,37,75,2390,118,9
Sonic,5 Piece Super Crunch Chicken Strip Dinner,1190,57,44,90,2610,126,9
Sonic,3 Piece Super Crunch Chicken Strips,330,16,22,55,670,25,0
Sonic,4 Piece Super Crunch Chicken Strips,440,21,29,70,900,34,1
Sonic,5 Piece Super Crunch Chicken Strips,550,26,36,90,1120,42,1
Sonic,Traditional Ultimate Chicken Sandwich,730,39,32,90,1540,62,11
Sonic,Ultimate Chicken Club,100,64,39,100,2070,65,12
Sonic,"All Beef All-american Style Dog – 6""",370,18,12,40,1180,40,15
Sonic,"All Beef Chicago Dog – 6""",430,20,14,40,2310,49,17
Sonic,"All Beef Chili Cheese Coney – 6""",410,26,17,65,1140,30,4
Sonic,"All Beef New York Dog – 6""",340,19,13,40,1250,30,4
Sonic,"All Beef Regular Hot Dog – 6""",320,18,11,40,870,27,3
Sonic,Cheesy Bacon Pretzel Dog - 6 In.,500,26,15,50,1410,46,7
Sonic,Corn Dog,210,11,6,20,530,23,4
Sonic,Footlong Quarter Pound Coney,830,54,30,85,1940,54,9
Sonic,The Original Pretzel Dog,320,18,11,35,910,27,2
Arbys,Arby's Melt,330,11,18,30,920,40,5
Arbys,Arby-Q Sandwich,400,10,18,30,1230,58,23
Arbys,Beef 'n Cheddar Classic,450,20,23,50,1280,45,9
Arbys,Beef 'n Cheddar Mid,630,32,39,100,2100,48,9
Arbys,Bourbon BBQ Brisket Sandwich,650,33,38,105,1460,51,15
Arbys,Bourbon BBQ Chicken Sandwich,690,31,38,90,1990,66,16
Arbys,Bourbon BBQ Steak Sandwich,690,31,38,90,1990,66,16
Arbys,Buttermilk Buffalo Chicken Sandwich,540,24,29,60,2110,53,6
Arbys,Buttermilk Chicken Bacon & Swiss,650,31,39,90,1750,56,9
Arbys,Buttermilk Chicken Cordon Bleu Sandwich,690,35,41,110,2000,53,7
Arbys,Buttermilk Crispy Chicken Sandwich,550,26,29,60,1480,52,6
Arbys,Classic French Dip & Swiss/Au Jus,540,23,35,85,2500,50,3
Arbys,Classic Roast Beef,360,14,23,50,970,37,5
Arbys,Double Roast Beef,510,24,38,95,1610,38,5
Arbys,Fire-Roasted Philly Steak,640,32,42,105,1950,46,4
Arbys,Grand Turkey Club,480,24,30,65,1610,37,9
Arbys,Greek Gyro,710,44,23,75,1360,55,6
Arbys,Half Pound Beef 'n Cheddar Sandwich,740,39,49,130,2530,48,9
Arbys,Half Pound French Dip & Swiss,750,36,55,150,3350,51,3
Arbys,Half Pound Roast Beef Sandwich,610,30,48,130,2040,38,5
Arbys,Ham & Swiss Melt,300,9,18,35,1030,37,6
Arbys,Loaded Italian Sandwich,680,40,32,100,2270,49,7
Arbys,Pecan Chicken Salad Flatbread,710,46,22,65,980,53,9
Arbys,Pecan Chicken Salad Sandwich,840,44,33,75,1210,81,20
Arbys,2 piece Prime-Cut Chicken Tenders,240,11,16,30,640,19,0
Arbys,3 piece Prime-Cut Chicken Tenders,360,17,23,45,950,28,0
Arbys,5 piece Prime-Cut Chicken Tenders,600,28,39,75,1590,47,0
Arbys,Reuben Sandwich,680,31,37,80,2420,62,5
Arbys,Roast Beef Gyro,550,29,24,60,1290,48,5
Arbys,Roast Turkey & Swiss Sandwich,710,28,38,65,1930,79,15
Arbys,Roast Turkey & Swiss Wrap,520,27,30,65,1640,39,6
Arbys,"Roast Turkey, Ranch & Bacon Sandwich",800,34,45,80,2420,79,16
Arbys,"Roast Turkey, Ranch & Bacon Wrap",620,34,37,85,2130,39,6
Arbys,Smoke Mountain w/ Beef Short Rib,740,35,43,125,2050,62,17
Arbys,Smokehouse Beef Short Rib Sandwich,590,59,26,75,1510,59,14
Arbys,Smokehouse Brisket,600,35,33,110,1240,42,7
Arbys,Super Roast Beef,430,17,23,45,1060,45,11
Arbys,Three Cheese Steak Sandwich,650,36,30,115,1760,44,9
Arbys,Triple Decker Sandwich,1030,51,62,155,2940,83,19
Arbys,Turkey Avocado Club,730,28,41,65,2140,80,16
Arbys,Turkey Gyro,470,20,25,45,1520,48,5
Arbys,Ultimate BLT,980,55,43,85,2130,80,19
Arbys,Buffalo Chicken Slider,290,13,12,20,860,31,2
Arbys,Chicken Tender 'n Cheese Slider,290,12,15,25,720,30,1
Arbys,Corned Beef 'n Cheese Slider,220,9,14,30,890,21,1
Arbys,Ham 'n Cheese Slider,210,8,13,25,780,21,2
Arbys,Jalapeno Roast Beef 'n Cheese Slider,240,11,14,30,670,21,1
Arbys,Pizza Slider,300,17,13,35,930,23,2
Arbys,Roast Beef 'n Cheese Slider,240,11,14,30,670,21,1
Arbys,Turkey 'n Cheese Slider,200,7,14,25,760,21,2
Arbys,Chopped Side Salad,70,5,5,15,100,4,2
Arbys,Crispy Chicken Farmhouse Salad,430,24,28,65,1000,26,4
Arbys,Greek Gyro Salad,420,37,10,55,700,11,4
Arbys,Roast Turkey Farmhouse Salad,230,13,22,55,870,8,5
Arbys,Super Greek Salad,720,53,22,85,1310,39,7
Burger King,American Brewhouse King,1550,126,134,805,1820,21,7
Burger King,Bacon & Swiss Sourdough King,1000,65,56,200,1320,48,8
Burger King,Bacon Cheeseburger,330,16,18,55,830,32,7
Burger King,Bacon Cheeseburger Deluxe,290,14,12,40,720,28,7
Burger King,Bacon King,1040,48,57,220,1900,48,10
Burger King,Bacon King Jr,730,39,32,90,1930,63,16
Burger King,BBQ Bacon King,1100,75,57,220,1850,51,13
Burger King,Cheeseburger,300,14,16,45,710,28,6
Burger King,Double Bacon Cheeseburger,520,31,31,105,1180,33,8
Burger King,Double Cheeseburger,450,26,26,95,960,29,6
Burger King,Double Hamburger,360,18,22,70,520,28,6
Burger King,Double Quarter Pound King,900,54,56,210,1740,50,11
Burger King,Extra Long Cheeseburger,580,33,26,85,1030,45,9
Burger King,Farmhouse King,1220,80,NA,335,2050,62,15
Burger King,Hamburger,260,10,13,35,490,28,6
Burger King,Homestyle Cheeseburger,550,27,30,95,1140,48,10
Burger King,Jalapeno King Sandwich,990,65,55,205,1550,46,7
Burger King,Mushroom & Swiss King,940,63,49,175,1380,45,8
Burger King,Rodeo Burger,310,13,9,25,450,38,9
Burger King,Rodeo King,1250,82,60,230,2270,69,14
Burger King,Sourdough King Single,730,43,35,125,1570,52,12
Burger King,Sourdough King Double,970,61,55,205,1640,52,12
Burger King,Steakhouse King,1100,74,50,180,1620,59,13
Burger King,Bacon & Cheese Whopper,770,48,29,95,1360,47,9
Burger King,DOUBLE WHOPPER w/o Cheese,900,57,47,140,1050,51,11
Burger King,DOUBLE WHOPPER w/ Cheese,990,65,52,160,1480,53,11
Burger King,WHOPPER w/o Cheese,660,40,28,90,980,49,11
Burger King,WHOPPER w/ Cheese,760,47,33,100,1410,53,11
Burger King,WHOPPER JR. w/o Cheese,340,19,14,40,510,28,6
Burger King,WHOPPER JR. w/ Cheese,380,23,16,55,730,29,6
Burger King,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,590,40,42,150,1540,18,6
Burger King,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,720,50,36,120,1960,32,7
Burger King,Chicken BLT Salad w/ Grilled Chicken,550,37,36,115,1640,17,5
Burger King,Chicken BLT Salad w/ Crispy Chicken,690,48,35,100,1750,31,8
Burger King,Chicken Caesar Salad w/ Grilled Chicken,530,32,35,95,1640,26,6
Burger King,Chicken Caesar Salad w/ Crispy Chicken,670,43,34,80,1760,40,8
Burger King,"Chicken, Apple & Cranberry Salad w/ Grilled Chicken",560,30,29,90,980,40,34
Burger King,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",700,41,28,80,1090,54,37
Burger King,"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",320,14,36,115,650,16,4
Burger King,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",450,24,29,85,1070,30,6
Burger King,Side Caesar Salad with dressing,220,20,6,10,540,7,3
Burger King,Side Garden Salad and Avocado Ranch Dressing,230,21,5,30,520,7,3
Burger King,Bacon Cheddar Ranch Crispy Chicken Sandwich,830,52,34,110,2100,57,9
Burger King,BBQ Bacon Crispy Chicken Sandwich,440,27,7,15,630,44,13
Burger King,Big Fish Sandwich,530,27,17,30,1360,54,7
Burger King,BK VEGGIE Burger,410,16,22,5,1030,44,8
Burger King,Chicken Burger,480,25,22,5,1160,42,10
Burger King,Chicken Cordon Bleu Sandwich,730,39,32,90,1930,63,16
Burger King,Chicken Fries,290,17,16,40,780,18,1
Burger King,4 Piece Chicken Nuggets,190,11,10,25,310,10,0
Burger King,6 Piece Chicken Nuggets,290,17,15,40,460,15,0
Burger King,20 Piece Chicken Nuggets,950,55,51,130,1530,50,0
Burger King,Chicken Nuggets (10pc),470,29,21,50,890,34,0
Burger King,Chicken Parmesan Sandwich,570,25,32,70,1340,57,9
Burger King,Crispy Buffalo Chicken Melt,580,28,30,70,2310,56,8
Burger King,Crispy Chicken Jr.,430,28,12,30,760,34,4
Burger King,Crispy Chicken Sandwich,670,41,23,60,1070,54,7
Burger King,Grilled Chicken Sandwich,470,19,37,85,850,39,6
Burger King,Grilled Chili Cheese Dog,330,19,14,40,980,28,5
Burger King,Grilled Hot Dog,310,16,11,30,960,32,10
Burger King,Jalapeno Chicken Fries,300,18,15,40,950,19,1
Burger King,Original Chicken Sandwich,630,39,24,65,1390,46,4
Burger King,Pretzel Chicken Fries,340,21,16,45,1200,21,1
Burger King,Rodeo Crispy Chicken Sandwich,410,17,12,20,870,53,14
Burger King,Sourdough Chicken Club,840,51,32,95,1760,62,7
Burger King,4 Piece Spicy Chicken Nuggets,210,15,8,20,570,11,0
Burger King,Spicy Chicken Nuggets,530,37,20,55,1420,28,0
Burger King,Spicy Crispy Chicken Jr.,410,25,12,35,850,35,5
Burger King,Spicy Crispy Chicken Sandwich,700,42,25,65,1140,57,8
Burger King,Spicy Crispy Jalapeno Chicken Sandwich,760,45,32,95,1720,58,8
Dairy Queen,1/2 lb. FlameThrower® GrillBurger,1000,74,46,170,1610,40,9
Dairy Queen,1/2 lb. GrillBurger with Cheese,800,51,40,135,1280,44,13
Dairy Queen,1/4 lb. Bacon Cheese GrillBurger,630,37,30,95,1250,44,13
Dairy Queen,1/4 lb. GrillBurger with Cheese,540,30,23,70,1020,44,13
Dairy Queen,1/4 lb. Mushroom Swiss GrillBurger,570,35,24,75,820,39,8
Dairy Queen,Original Cheeseburger,400,18,19,65,930,34,8
Dairy Queen,Original Double Cheeseburger,630,34,34,125,1240,34,9
Dairy Queen,4 Piece Chicken Strip Basket w/ Country Gravy,1030,53,35,80,2780,105,4
Dairy Queen,6 Piece Chicken Strip Basket w/ Country Gravy,1260,66,49,120,3500,121,4
Dairy Queen,Bacon Cheese Dog,420,26,19,60,1140,26,3
Dairy Queen,Cheese Dog,390,24,16,50,1000,26,3
Dairy Queen,Chili Cheese Dog,380,24,16,55,900,23,3
Dairy Queen,Chili Dog,330,20,13,40,1050,24,5
Dairy Queen,Hot Dog,290,17,11,35,900,22,4
Dairy Queen,Relish Dog,350,20,13,35,1000,30,6
Dairy Queen,Barbecue Pork Sandwich,310,9,17,50,830,41,9
Dairy Queen,Breaded Mushrooms,250,9,7,0,500,36,1
Dairy Queen,Regular Cheese Curds,550,45,35,150,900,0,0
Dairy Queen,Large Cheese Curds,1050,75,43,180,2210,52,30
Dairy Queen,Chili Cheese Mega Dog,760,49,32,100,1570,48,6
Dairy Queen,Corn Dog,260,15,6,20,450,26,7
Dairy Queen,Crispy Fish Sandwich,470,22,17,20,1210,53,7
Dairy Queen,Deluxe Cheeseburger,400,18,20,65,930,35,9
Dairy Queen,Deluxe Double Cheeseburger,640,34,34,125,1240,35,9
Dairy Queen,Deluxe Double Hamburger,540,26,29,100,750,34,9
Dairy Queen,Deluxe Hamburger,350,14,17,50,680,34,9
Dairy Queen,DQ Ultimate® Burger,780,48,41,150,1390,34,7
Dairy Queen,Pork Tenderloin Sandwich,580,34,19,45,910,48,6
Dairy Queen,Steak Finger Basket,910,48,23,45,2210,95,2
Dairy Queen,3 chicken strips Chicken Strips,350,20,22,60,960,22,0
Dairy Queen,Chicken Bacon Ranch Sandwich,500,20,33,65,1190,45,3
Dairy Queen,Chicken Mozzarella Sandwich,640,25,34,60,1530,68,3
Dairy Queen,Crispy Chicken BLT Salad,520,31,37,100,1470,25,6
Dairy Queen,Crispy Chicken Garden Greens Salad,280,13,17,40,670,24,6
Dairy Queen,Crispy Chicken Sandwich,600,30,24,55,1250,59,8
Dairy Queen,Crispy Chicken Wrap,350,21,12,35,820,30,1
Dairy Queen,Grilled Chicken BLT Salad,380,19,42,100,1540,11,6
Dairy Queen,Grilled Chicken Garden Greens Salad,150,2,23,40,730,10,6
Dairy Queen,Grilled Chicken Sandwich,360,15,25,50,1040,32,5
Dairy Queen,Grilled Chicken Wrap,280,15,15,30,800,22,1
Dairy Queen,Side Salad,20,0,1,0,15,5,3
Dairy Queen,Turkey BLT Sandwich,550,26,30,60,1420,45,3
Subway,"6"" B.L.T.",320,9,15,20,680,43,6
Subway,Footlong B.L.T.,640,18,30,40,1360,86,12
Subway,"6"" BBQ Rib Sandwich",430,18,19,50,590,47,8
Subway,Footlong BBQ Rib Sandwich,860,36,38,100,1180,94,16
Subway,"6"" Big Hot Pastrami",580,31,29,85,1470,47,7
Subway,Footlong Big Hot Pastrami,1160,62,58,170,2940,94,14
Subway,"6"" Big Philly Cheesesteak",500,17,38,85,1310,51,8
Subway,Footlong Big Philly Cheesesteak,1000,34,76,170,2620,102,16
Subway,Kids Mini Sub Black Forest Ham,180,3,10,10,450,30,5
Subway,"6"" Black Forest Ham",290,5,18,20,830,46,8
Subway,Footlong Black Forest Ham,580,10,36,40,1660,92,16
Subway,"6"" Carved Turkey",330,5,25,45,890,45,7
Subway,Footlong Carved Turkey,660,10,50,90,1780,90,14
Subway,"6"" Carved Turkey & Bacon w/ Cheese",570,26,33,70,1600,46,8
Subway,Footlong Carved Turkey & Bacon w/ Cheese,1140,52,66,140,3200,92,16
Subway,"6"" Chicken & Bacon Ranch Melt",570,28,35,95,1080,47,8
Subway,Footlong Chicken & Bacon Ranch Melt,1140,56,70,190,2160,94,16
Subway,"6"" Chicken Pizziola Melt",460,16,32,80,1140,49,9
Subway,Footlong Chicken Pizziola Melt,920,32,64,160,2280,98,18
Subway,"6"" Cold Cut Combo",370,13,18,50,1140,46,7
Subway,Footlong Cold Cut Combo,740,26,36,100,2280,92,14
Subway,"6"" Corned Beef Reuben",470,15,39,85,1770,45,12
Subway,Footlong Corned Beef Reuben,940,30,78,170,3540,90,24
Subway,"6"" Italian B.M.T.",410,16,20,45,1300,46,8
Subway,Footlong Italian B.M.T.,820,32,40,90,2600,92,16
Subway,"6"" Italian Hero",550,29,26,75,1470,47,9
Subway,Footlong Italian Hero,1100,58,52,150,2940,94,18
Subway,"6"" Meatball Marinara",480,18,21,30,950,59,12
Subway,Footlong Meatball Marinara,960,36,42,60,1900,118,24
Subway,"6"" Oven Roasted Chicken",320,5,23,25,640,47,8
Subway,Footlong Oven Roasted Chicken,640,10,46,50,1280,44,16
Subway,Kids Mini Sub Roast Beef,200,3,14,25,390,30,5
Subway,"6"" Roast Beef",320,5,24,40,700,45,7
Subway,Footlong Roast Beef,640,10,48,80,1400,90,14
Subway,"6"" Rotisserie Style Chicken",350,6,29,50,540,44,7
Subway,Footlong Rotisserie Style Chicken,700,12,58,100,1080,88,14
Subway,"6"" Spicy Italian",480,24,20,50,1520,46,8
Subway,Footlong Spicy Italian,960,48,40,100,3040,92,16
Subway,"6"" Steak and Cheese",380,10,26,50,1060,48,8
Subway,Footlong Steak and Cheese,760,20,52,100,2120,96,16
Subway,"6"" Subway Club",310,5,23,40,880,46,7
Subway,Footlong Subway Club,620,10,46,80,1760,92,14
Subway,"6"" Subway Melt (includes cheese)",370,11,23,45,1210,47,8
Subway,Footlong Subway Melt (includes cheese),740,22,46,90,1420,94,16
Subway,"6"" Subway Seafood Sensation",420,19,13,20,690,51,8
Subway,Footlong Subway Seafood Sensation,840,38,26,40,1380,102,16
Subway,"6"" Sweet Onion Chicken Teriyaki",380,5,26,50,900,59,18
Subway,Footlong Sweet Onion Chicken Teriyaki,760,10,52,100,1800,118,36
Subway,"6"" Tuna",470,24,20,30,620,44,6
Subway,Footlong Tuna,940,48,40,60,1240,88,12
Subway,"6"" Turkey & Bacon Avocado",390,13,22,30,860,49,7
Subway,Footlong Turkey & Bacon Avocado,780,26,44,60,1720,98,14
Subway,Kids Mini Sub Turkey Breast,180,2,10,10,380,30,5
Subway,"6"" Turkey Breast",280,4,18,20,810,46,7
Subway,Footlong Turkey Breast,560,8,36,40,1620,92,14
Subway,"6"" Turkey Breast & Ham",280,4,18,20,820,46,8
Subway,Footlong Turkey Breast & Ham,560,8,36,40,1640,92,16
Subway,"6"" Turkey Italiano Melt (with Provolone)",490,24,24,50,1480,47,8
Subway,Footlong Turkey Italiano Melt (with Provolone),980,48,48,100,2960,94,16
Subway,Kids Mini Sub Veggie Delite,150,2,6,0,190,29,4
Subway,"6"" Veggie Delite",230,3,8,0,310,44,6
Subway,Footlong Veggie Delite,460,6,16,0,620,88,12
Subway,"6"" Veggie Patty",390,7,23,10,800,56,8
Subway,Footlong Veggie Patty,780,14,46,20,1600,112,16
Subway,Autumn Carved Turkey Salad,300,9,25,60,1120,26,22
Subway,B.L.T. Salad,150,8,10,20,420,10,5
Subway,Big Hot Pastrami Melt Salad,400,29,23,85,1250,12,4
Subway,Big Philly Cheesesteak Salad,330,16,32,85,1080,17,6
Subway,Black Forest Ham Salad,110,3,12,20,590,11,6
Subway,Buffalo Chicken Salad (with Ranch dressing),360,26,20,60,1100,13,6
Subway,Carved Turkey & Bacon w/ Cheese Salad,280,12,28,65,1320,11,5
Subway,Carved Turkey Salad,150,4,19,45,680,8,3
Subway,Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),510,38,30,100,1040,14,7
Subway,Cold Cut Combo Salad,180,11,12,45,820,12,5
